class_name,sentence
Security,The product shall have security.
Security,The website shall prevent its data from being corrupted when incorrect data is entered in.
Performance,"The Backend System shall ensure input data fidelity and dynamic range integrity across all processing, manipulation, and I/O functions."
Usability,The enterer or editor is presented with a success or failure message and the form is updated so that the enterer or editor may correct the form or add more information.
Security,Measures are in place to detect unauthorized changes to information
Security,All additions of new users and modifications to user's access shall be recorded on the User Report.
Security,The system shall encrypt all data transmissions using AES-256 encryption.
Security,The product shall ensure that the database's data corresponds to the data entered by the user.
Operability,The MultiMahjongServer will have a graphical user interface with which the administrator of the server can get log information and change game settings.
Usability,Recognizing different languages and accents and providing multiple language support
Security,And remember that OpenEMR's username and passwords are case sensitive.
Operability,The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.
Maintainability,Creating an effective communication and support mechanism to collect visitor feedback and make quick feedback
Operability,Using a standard communication protocol for all sensors to transmit data in harmony
Operability,"The system shall support real-time correlator operations, hardware monitoring/control, and PLD/FPGA personality updates over the network."
Maintainability,"The ASC X12N 820ï¿½Payroll Deducted and Other Group Premium Payment for Insurance Products, Version 4010, May 2000, Washington Publishing Company, 004010X061, and Addenda to Payroll Deducted and Other Group Premium Payment for Insurance Products, Version 4010, October 2002, Washington Publishing Company, 004010X061A1."
Operability,The system shall be capable of responding in a loss-less manner to I/O and processing changes arising from Correlator mode changes.
Maintainability,All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides.
Security,System provides an automatic timeout if the session is idle for a pre-specified and configurable duration.
Operability,The System must allow a user to be a member of more than one group.
Performance,system shall be able to handle all of the user requests or usage during business hours.
Security,Only registered customers can purchase streaming movies.
Security,Storage of user data in a redundant and safe way
Usability,Integration of new maps with the product shall be possible with little to no support from product support staff.
Security,The System shall granularly control access rights to all major subsystems.
Maintainability,"(a) Receive a standard transaction on behalf of the covered entity and translate it into a nonstandard transaction (for example, nonstandard format possibly and possibly nonstandard data content) for transmission to the covered entity."
Usability,The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.
Maintainability,"The system shall utilize naming conventions and standards for data elements, entities and tables, programs, report names, etc."
Maintainability,"(8) The ASC X12Nï¿½276 or 277 Health Care Claim Status Request and Response, Version 4010, May 2000, Washington Publishing Company, 004010X093 and Addenda to Health Care Claim Status Request and Response, Version 4010, October 2002, Washington Publishing Company, 004010X093A1, as referenced in section 162.1402."
Performance,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.
Security,A session that has been inactive for more than ten minutes is terminated
Security,The system shall lock accounts after 1000 failed login attempts.
Performance,"The CMIB shall be able to function as a real-time computer with at least 64MB of RAM, storage, various ports, and network connectivity."
Performance,The system shall perform with 1500 users as a time.
Operability,The Disputes application shall interface with the Cardmember Posting and Billing System.
Security," Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the group health plan;"
Performance,The system shall respond to user queries within 30 milliseconds.
Security,(7) A description of the process in place to ensure that no amounts higher than 100 percent of FFP will be claimed by the State for reimbursement of expenditures for State payments to Medicaid eligible providers for the certified EHR technology incentive payment program and a methodology for verifying such information.
Usability,Users should be able to access their streaming movies in under 2 clicks after logging into the website.
Maintainability,The system shall utilize a modular design with hot?swappable components for maximum repairability and uptime.
Operability,The system shall complete backup operations within 5 hours.
Security,One insurance company shall not be able to view another insurance companys claim data.
Security,The system shall have the ability to assign application access rights across entire suite of applications at a single point of entry.
Maintainability,Orange book codes
Security,System allows users to re-authenticate and remotely log out of an active user session before logging in at another location.
Operability,"If using CentOS or Redhat, then ensure when configuring MySQL for OpenEMR, STRICT_MODE must be disabled."
Security,The System must allow the user to limit access to cases to specified users or user groups.
Security,Security decisions do not rely on HTTP header information.
Usability,Users shall feel satisfied using the product.
Operability,This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process.
Security,Conduct or review a security risk analysis in accordance with the requirements under 45 CFR 164.308(a)(1) and implement security updates as necessary and correct identified security deficiencies as part of its risk management process.
Security,(B) No protected health information is to be removed from the covered entity by the researcher in the course of the review; and
Usability,The system should provide an uninterrupted educational experience by providing high usability.
Maintainability,"The ASC X12N 270 or 271ï¿½Health Care Eligibility Benefit Inquiry and Response, Version 4010, May 2000, Washington Publishing Company, 004010X092 and Addenda to Health Care Eligibility Benefit Inquiry and Response, Version 4010, October 2002, Washington Publishing Company, 004010X092A1."
Maintainability,The implementation must use the Strategy pattern for epidemic detection and cause-of-death trends and the Singleton pattern for database connections.
Maintainability,"(1) The Telecommunication Standard Implementation Guide Version 5, Release 1 (Version 5.1), September 1999, National Council for Prescription Drug Programs, as referenced in section 162.1102, section 162.1202, section 162.1302, section 162.1602, and section 162.1802."
Operability,"Software should be able to operate on different devices (web, mobile)"
Security,The password is not displayed as clear text (Password Masking)
Operability,Each computer system in the CMCS shall have a hardware based watchdog timer configured to reboot the system in the case of a system hang.
Usability,Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.
Maintainability,The system shall store medication information in discrete data fields.
Maintainability,For each emerging target market it shall take no more than 5 days to configure the product for that market's language.
Performance,90% of tasks shall complete within 5 seconds.
Usability,The product shall allow the user to select a chosen language from one of the target market countries.
Maintainability,"(b) For the period on and after October 16, 2003: ASC X12N 834ï¿½Benefit Enrollment and Maintenance, Version 4010, May 2000, Washington Publishing Company, 004010X095 and Addenda to Benefit Enrollment and Maintenance, Version 4010, October 2002, Washington Publishing Company, 004010X095A1."
Operability,"Application, backup of user data and creating a separate disaster recovery plan"
Security,"Application, in compliance with local legal regulations and follows privacy policies in data collection processes"
Maintainability,"The system shall provide the ability to capture patient vital signs, including blood pressure, heart rate, respiratory rate, height, and weight, as discrete data."
Maintainability,Use the nonmedical data code sets as described in the implementation specifications adopted under this part that are valid at the time the transaction is initiated.
Usability,The system shall support multiple languages and localization requirements.
Security,System allows addition of user-defined messages to logon screen
Operability,"The system shall be able to retransmit, reconstruct, or reprocess data to ensure its reliability in case of loss or inaccessibility."
Operability,"The CPCC shall be able to function as a high availability computer for real-time correlator operations, hardware monitoring/control, and remote PLD/FPGA updates."
Security,If a user account is revoked it can only be re-instantiated by the System Administrator.
Security,The administrator has authenticated himself or herself in the iTrust Medical Records system (UC3).
Security,The HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).
Operability,The WCS system shall be run in a Windows environment.
Usability,2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.
Maintainability,The system shall provide an automated test script to validate the data after modifications or upgrades
Operability,The product is expected to run on Windows CE and Palm operating systems.
Security,"Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users."
Performance,This number is expected to grow 5 times within the next year
Maintainability,"(3) A health plan may not reject a standard transaction on the basis that it contains data elements not needed or used by the health plan (for example, coordination of benefits information)."
Performance,"The system, including programs, database, and ancillary hardware and related software systems shall be able to retain its performance levels when adding additional users, functions, and data."
Maintainability,The system documentation shall be updated within 5 hours of changes.
Performance,The system shall be able to handle 1000 customers logged in concurrently at the same time.
Security,System does not use parent paths when data within the System is being accessed.
Security,"Implement policies and procedures to document repairs and modifications to the physical components of a facility which are related to security (for example, hardware, walls, doors, and locks)."
Usability,The system shall provide French language support for international users.
Performance,The product shall provide Multi-threading and Load Balancing.
Maintainability,"The system shall provide the ability to capture, in a discrete field, an allergy or adverse reaction to a specific immunization."
Performance,The system shall be able to ensure a response time of 1 minute or less for Commanding Officer (CO) actions in both single and multiplayer modes.
Usability,The system has the capability to alert the user of lookalike and sound alike drugs.
Maintainability,"(5) The combination of Health Care Financing Administration Common Procedure Coding System (HCPCS), as maintained and distributed by HHS, and Current Procedural Terminology, Fourth Edition (CPTï¿½4), as maintained and distributed by the American Medical Association, for physician services and other health care services."
Security,The system shall be built such that it is as secure as possible from malicious interference.
Security,Each user shall have a set of system access properties that defines the users’ privileges within the system.
Performance,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.
Maintainability,"I/O, communications, and processing hardware shall be easily expandable, reconfigurable, augmentable and replaceable to meet increasing data transfer and processing demands imposed by EVLA science, Correlator changes, and availability of new hardware."
Security,"The system upon detection of inactivity of an interactive session shall prevent further viewing and access to the system by that session by terminating the session, or by initiating a session lock that remains in effect until the user reestablishes access using appropriate identification and authentication procedures."
Usability,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.
Security,Only the System Administrator shall be able to reset a revoked user logon account
Usability,"Program will have a simple, graphically appealing interface designed for sixth graders."
Performance,"The system shall use a best?effort multicast/broadcast approach, where delivery of packets to all specified agents is not guaranteed."
Security,Security measures implemented to comply with standards and implementation specifications adopted under section 164.105 and this subpart must be reviewed and modified as needed to continue provision of reasonable and appropriate protection of electronic protected health information as described at section 164.316.
Operability,The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).
Security,Configuration stores are secured from unauthorized access and tampering.
Performance,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.
Operability,"To be able to work smoothly on different devices (smartphones, tablets, wearable devices)"
Maintainability,"This documentation will be available in electronic files, and, with the exception of source code, in hard copy format."
Security,"Encrypted data delivered over the Internet is transmitted via open protocols (e.g., SSL, XML encryption)"
Security,Each user shall have a set of system access properties that defines the user's privileges within the system.
Operability,The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.
Operability,It should be scaled in such a way that it can be easily adapted to increasing demands.
Usability,The system shall provide Spanish language support for international users.
Maintainability,"(3) The National Council for Prescription Drug Programs (NCPDP) equivalent NCPDP Batch Standard Batch Implementation Guide, Version 1, Release 0, February 1, 1996, as referenced in section 162.1102, section 162.1202, section 162.1602, and section 162.1802."
Performance,The system shall have a response time where the average transaction on the server needs to occur on average less than 1 second.
Performance,Software should provide high performance and low delay times
Security,"Implement procedures for removal of electronic protected health infoImplement policies and procedures to address the final disposition of electronic protected health information, possibly and possibly the hardware or electronic media on which it is stored.rmation from electronic media before the media are made available for re-use."
Performance,The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.
Operability,The system shall recover from failures within 5 minutes.
Maintainability,Software should be updated regularly to adapt to technological developments
Performance,"System shall let customers register on the website as a ""unlimited movie subscriber"" user in under 10 minutes."
Maintainability,"All software processes shall be killable, restartable, debuggable and testable with minimal impact on normal system operations."
Performance,The system shall be able to email customer and vendor in less than 1 second.
Usability,The product shall use symbols and words that are naturally understandable by the realtor community.
Performance,The system shall support concurrent background and foreground tasks.
Security,The system shall provide ability to use a single user sign-on for all modules with security configured for each module.
Performance,The database queries shall execute within 2 seconds for 200 records.
Security,The product shall free of computer viruses.
Performance,The database queries shall execute within 30 seconds for 100 records.
Operability,"Seamlessness shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality at interfaces."
Operability,"I/O, communications, and processing hardware shall be easily expandable, reconfigurable, augmentable and replaceable to meet increasing data traffic and processing demands."
Usability,"The system shall have the ability to restrict free form entry (e.g., provide drop down calendar for date field)"
Security,The administrator shall have the ability to create and add a new user to the system.
Maintainability,"(2) The Batch Standard Batch Implementation Guide, Version 1, Release 1 (Version 1.1), January 2000, supporting Telecommunication Standard Implementation Guide, Version 5, Release 1 (Version 5.1) for the NCPDP Data Record in the Detail Data Record, National Council for Prescription Drug Programs, as referenced in section 162.1102, section 162.1202, section 162.1302, and section 162.1802."
Security,System shall let existing customers log into the website with their email address and password in under 5 seconds.
Performance,"The solution shall complete an average of 99% of all online update transactions in under 5 seconds over any 60-minute period, during peak usage."
Security,"The Proposer shall provide the facility required to host the computing and network environment, including appropriate physical security, required third-party software, and 24 by 7 staff support and monitoring environmental conditions (e.g. HVAC, port, fire detection, suppression, moisture, humidity and temperature."
Operability,The TCS shall be capable of being interoperable with the installed payloads across the 5 levels of UAV interaction.
Maintainability,The product must run using Internet Explorer and Netscape Navigator.
Usability,An employee will be able to successfully use the product within a few minutes.
Security,Do not allow direct web access to the following directories
Usability,"The system shall provide the ability to document encounters by one or more of the following means: direct keyboard entry of text; structured data entry utilizing templates, forms, pick lists or macro substitution; dictation with subsequent transcription of voice to text, either manually or via voice recognition system."
Security,Login to OpenEMR using your assigned username and password.
Maintainability,To have comprehensive analytical and reporting features to analyze visitor traffic and to continuously improve experience
Security,"(8) A description of the process in place for ensuring improvements in health outcomes, clinical quality, or efficiency resulting from the adoption of certified EHR technology by recipients of Medicaid incentive payments and a methodology for verifying such information."
Security,The system shall maintain data integrity and prevent data loss during transactions.
Maintainability,All systems and application source code shall be available to or on the systems that execute it.
Performance,The response times of the application are optimized to meet real -time data processing requirements
Security,"The iTrust user (patient, LHCP) or administrator has authenticated himself or herself in the iTrust Medical Records system (UC3),(UC2)."
Operability,The automated diagnostic tool shall detect and identify certain performance and operational faults in chiller and cooling tower subsystems of HVAC units following specified algorithms.
Maintainability,The system shall maintain logs of all changes and updates.
Performance,The total processor capability of the BE System shall be sufficient to accomplish all processing tasks while avoiding loss or delay on the input and output data streams.
Usability,The system shall be easy to use and learn with help bubbles and clear error messages.
Usability,70% of registered users shall find a solution to their problem within 5 minutes of using the support site
Security,"To begin using OpenEMR, navigate to your server's installation directory and log in using your assigned username and password."
Maintainability,The system has the capability to be DICOM compliant for images.
Performance,The system shall process 500 requests per second under normal load.
Performance,The response time shall be fast enough to maintain the flow of the game.
Performance,The product shall be capable of handling the existing 1000 users.
Security,"System authenticates the user before any access is allowed to protected resources (e.g., Protected Health Information)"
Security,The product shall information Security.
Operability,Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.
Security,You will then be required to login again with your new password.
Maintainability,"(6) The ASC X12N 820ï¿½Payroll Deducted and Other Group Premium Payment for Insurance Products, Version 4010, May 2000, Washington Publishing Company, 004010X061, and Addenda to Payroll Deducted and Other Group Premium Payment for Insurance Products, Version 4010, October 2002, Washington Publishing Company, 004010X061A1, as referenced in section 162.1702."
Maintainability,"A users manual, explaining how to install and operate the MultiMahjongClient, will be provided."
Security,SSL is used to protect authentication cookies.
Maintainability,The system has a process of linking local organism codes to the SNOMED and LOINC codes.
Performance,The website shall be capable of supporting 100 000 customers.
Security,"On this page is displayed recommendations and warnings regarding directories Apache should NOT allow the outside world to see, as these directories contain Protected Health Information."
Performance,The system shall complete batch processing jobs within 10 minutes.
Security,"(A) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the covered entity as required by this subpart;"
Security,The system shall notify customers of changes to its information policy.
Performance,The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.
Operability,"The TCS shall receive, process, and present payload data to the operator so that the status of the payload can be determined."
Security,System warns the user before the timeout and prompts the user to re-enter their password.
Operability,Having a wide device compatibility for the application to work smoothly on different mobile devices and argues.
Performance,For 10% of the time the response time should not be more than 10 seconds.
Usability,The interface shall be easy to use.
Operability,The System shall not require additional third party licenses resulting in royalty fees.
Operability,The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.
Usability,Nine out ten users shall be able to successfully complete a game with no training.
Operability,The MultiMahjongServer will have no graphical user interface and will be run using a command prompt.
Security,Remove MID from being displayed on all pages and URLs.
Security,The system shall lock accounts after 5000 failed login attempts.
Performance,The system shall automatically compress image files that are too large in size.
Usability,The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion.
Usability,The system shall maintain consistent navigation patterns across all 50 modules.
Operability,Open source examples include Apache web server Tomcat and the JBoss application server.
Security,"The system shall have the ability to support web based client access or other internet based client access technologies, with appropriate security access controls"
Security,"Except with respect to disclosures under section 164.510, verify the identity of a person requesting protected health information and the authority of any such person to have access to protected health information under this subpart, if the identity or any such authority of such person is not known to the covered entity; and"
Operability,The system shall give stable and reproducible results.
Security,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.
Security,Only authorized users shall have access to students' personal information.
Security,Passwords should be held to a standard and be required to change at intervals.
Security,The system shall maintain audit logs for 30 days.
Security,(2) Protect against any reasonably anticipated threats or hazards to the security or integrity of such information.
Performance,The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds
Security,"Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information."
Usability,The product shall be easy for a realtor to learn.
Maintainability,"The system shall use industry-standard, commonly available, and widely used operating system, message passing middleware, and programming languages."
Operability,The system shall complete backup operations within 15 hours.
Security,"The system shall enforce the most restrictive set of rights or privileges or accesses needed by users or groups (e.g. System Administration, Clerical, Nurse, Doctor, etc.), or processes acting on behalf of users, for the performance of specified tasks."
Usability,Rreports must be easy to generate.
Operability,ASPERA-3 data shall be provided to NASA PDS no later than 6 months after acquisition.
Security,No invalid data shall be entered into the system.
Operability,"The system shall lock database records based on organization parameters (e.g., at row level, field level, or at the application level)."
Security,Ensure the root password is set to something.
Performance,The system shall cater to 10 simultaneous users from 9am to 5pm.
Usability,"All error messages produced by the System must be meaningful, with explanatory text and suggested actions for users to take."
Usability,Suitable for the use of individuals with disabilities
Maintainability,The system documentation shall be updated within 30 hours of changes.
Operability,The system shall achieve 95% uptime during business hours.
Security,Only authorized user shall access the RFS system.
Operability,The system shall be able to continue processing of all correlator configuration/control events until the queues of parameters are exhausted and external communications are restored
Security,System encrypts passwords before being stored or transmitted.
Maintainability,"(5) A health plan that operates as a health care clearinghouse, or requires an entity to use a health care clearinghouse to receive, process, or transmit a standard transaction may not charge fees or costs in excess of the fees or costs for normal telecommunications that the entity incurs when it directly transmits, or receives, a standard transaction to, or from, a health plan."
Performance,Low bandwidth and low system requirements of the application
Security,Users should be provided with a strong security mechanism in authentication processes.
Operability,The product shall run on the existing hardware for all environments.
Security,"When answer to the security question is typed in, the answer should not appear on the screen (similar to how a password normally appears) and the answer should be confirmed (by the patient or personal health representative) before it is saved."
Security,"The third party portal could also set up a ssh tunnel method, so the local OpenEMR instance is not open to the web (and possibly not even require an IP address)."
Operability,The Disputes System must be accessible by both internal and external users.
Usability,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.
Operability,The System must be available to users on all weekdays with defined planned and unplanned downtime limits.
Maintainability,The system shall be based upon proven state-of-the-art technologies.
Usability,User?-friendly interface should improve the user experience
Performance,When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.)
Performance,The product shall process messages within 2 seconds.
Operability,The system shall operate effectively in specified environmental conditions.
Security,"System returns generic error messages to the client, to avoid disclosure of sensitive information."
Operability,The system shall support network integration with external services.
Security,Users must be authenticated using their IBM intranet user name and password.
Security,The product will be as secure as the web browser that will run the product.
Security,"To begin, log in with your designated username and password."
Operability,Movies shall be encoded for 56k and 256k streams.
Operability,Irregular activities are identified based on County departments' rules and regulations.
Security,Only valid data shall be entered into the system. No invalid data shall be entered into the system.
Security,The time for passwords to be changed is predefined as per user's role and access level.
Operability,All messages passed between CMCS system layers shall have both UTC and wall clock time stamp information appropriate for the message type.
Operability,System integrates with Microsoft Active Directory for authentication and has the capability of notifying the end user of near domain account password expiration date as well as the ability to reset the password through the system's user interface
Maintainability,The system shall provide the ability to capture other clinical data elements as discrete data.
Performance,The system shall support up to 5000 concurrent users without performance degradation.
Security,Cryptographic algorithm and key size for the System's data encryption requirements is AES 256 bit or stronger.
Usability,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.
Security,The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.
Maintainability,The product shall comply with City of Chicago Application Development Guide Framework.
Performance,The search for the preferred repair facility shall take no longer than 8 seconds.
Usability,The product shall be translated into foreign languages other than the target market countries' languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market's language.
Security,Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page
Usability,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30.
Usability,The response shall be fast enough to avoid interrupting the user's flow of thought.
Operability,The product must be able to interface with various database management systems.
Security,Customer will no longer be able to access the website.
Operability,The software part of the system shall be able to perform without total system restart due to internal failure between array maintenance windows.
Security," Customer service, including the provision of data analyses for policy holders, plan sponsors, or other customers, provided that protected health information is not disclosed to such policy holder, plan sponsor, or customer."
Operability,All adjustment requests must be sent to the Cardmember Posting and Billing System.
Security,Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.
Operability,The system shall continue to operate in a loss-less manner in the event of a temporary (time duration TBD) loss of availability of the e2e System.
Usability,The system shall provide templates for inputting data in a structured format as part of clinical documentation.
Usability,The system has capability to use visual cues to highlight abnormal results.
Security,The system must ensure the privacy of user data and comply with safety standards
Performance,Providing accuracy and consistency in automatic translation and summary processes
Usability,"The system shall present data to users such that a minimum of navigational effort is required, including:"
Security,The iTrust user has authenticated himself or herself in the iTrust Medical Records system (UC3).
Security,Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.
Security,"Procedures for guarding against, detecting, and reporting malicious software."
Security,Users shall authenticate using a username and password and access functionalities based on their assigned roles.
Security,"The system shall support protection of confidentiality of all Protected Health Information (PHI) delivered over the Internet or other known open networks via encryption using triple-DES (3DES) or the Advanced Encryption Standard (AES) and an open protocol such as TLS, SSL, IPSec, XML encryptions, or S or MIME or their successors."
Security,Sensitive data and secrets are not incorporated in code.
Security,All system and user accounts are identified.
Usability,The system shall be able to support a multilingual interface.
Security,"The Web-enabled portions of the application shall meet state-of-the-art Internet standards for graphics and design and for speed, reliability, and security for dynamic content and user interaction."
Performance,The database queries shall execute within 15 seconds for 1000 records.
Security,Ensuring the compliance of data storage and processing processes to the relevant legal regulations
Performance,Aside from server failure the software product shall achieve 99.99% up time.
Security,"The web server always asserts a character set: a locale and a country code, such as en_US."
Operability,98% of the user workstations shall meet the minimum hardware requirements prior to implementation.
Security,Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.
Security,The system shall lock accounts after 200 failed login attempts.
Maintainability,"(2) National Drug Codes (NDC), as maintained and distributed by HHS, for reporting the following by retail pharmacies:"
Security,Ensuring the compliance of data collection and processing processes to the relevant legal regulations
Operability,The CPCC shall have all required disk and file system facilities installed locally such that the system can boot and run in a stand-alone configuration.
Operability,The Statement Database provides the transaction details to the Disputes System.
Usability,90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.
Usability,User shall be able to play multiplayer Mahjong without requiring advanced knowledge of TCP/IP networking.
Maintainability,"(1) Accept and promptly process any standard transaction that contains codes that are valid, as provided in subpart J of this part."
Security,Measures are in place to protect information from being accidentally overwritten.
Security,"Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports."
Operability,The Merchant Information Database provides detailed information with regard to the merchant.
Performance,The product shall be expected to operate for at least 5 years for each customer installation.
Performance,The system shall refresh the display every 60 seconds.
Usability,It should improve experience with an interface that users can easily use
Usability,The system shall ensure text readability considering display characteristics and follow ISO 9241-303 for screen text legibility.
Performance,The system shall perform searches via Dijkstra's shortest path algorithm.
Security,System performs secure and seamless logon for all third party integrated systems.
Security,"Implement policies and procedures to address the final disposition of electronic protected health information, possibly and possibly the hardware or electronic media on which it is stored."
Security,The Disputes application shall manipulate and view business data.
Security,Only allow https (ie turn off http)
Operability,The System shall be able to automatically backup business data and restore them on demand.
Security,That data storage and processing processes in the system are in compliance with GDPR and other related data protection regulations.
Performance,The search results shall be returned no later 30 seconds after the user has entered the search criteria
Operability,"Software shall be provided that allows an authorized user full access to all messaging, monitor, and control traffic throughout the CMCS."
Security,The System design assumes that user input is malicious.
Usability,The product shall give users feedback when necessary.
Usability,80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.
Usability,The system shall comply with Standard ISO 9241 for user interface design.
Operability,The system shall be able to operate seamlessly at its interfaces with hardware modules and software functionality.
Security,"The Healthcare Information and Management Systems Society (HIMSS) provides a""Risk Assessment Toolkit""for conducting a risk assessment and developing a compliant security plan."
Security,"The system shall include documentation that itemizes the services (e.g. PHP, web services) and network protocols/ports (e.g. HL-7, HTTP, FTP) that are necessary for proper operation and servicing of the system, including justification of the need for that service and protocol."
Performance,The system shall respond to user queries within 15 milliseconds.
Operability,"The system shall function reliably, with few or no interruptions in its first operational year and fewer still thereafter."
Operability,The system shall support 200 different browser versions.
Maintainability,The product must be developed with the J2SE or J2EE programming language libraries
Usability,The application shall ask the user to confirm dropping a player or trading a player before performing the action.
Security,The system shall support secure communication through message encryption and decryption techniques.
Performance,The system shall be expected to manage the nursing program curriculum and class or clinical scheduling for a minimum of 5 years.
Maintainability,The website should use Flash to provide animation on the home page.
Maintainability,The product shall be able to continue to operate with no interruption in service due to new resource additions.
Performance,The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.
Operability,The software part of the system shall be able to perform without total system restart due to internal failure between system maintenance windows.
Maintainability,"(3) The Healthcare Common Procedure Coding System (HCPCS), as maintained and distributed by HHS, for all other substances, equipment, supplies, or other items used in health care services, with the exception of drugs and biologics."
Usability,Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).
Usability,The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.
Usability,The system shall use symbols and words that are naturally understandable by the user community.
Maintainability,"The ASC X12N 270 or 271ï¿½Health Care Eligibility Benefit Inquiry and Response, Version 4010, May 2000, Washington Publishing Company,004010X092."
Security,"When passwords are used, the system shall support password strength rules that allow for minimum number of characters, and inclusion of alpha-numeric complexity."
Maintainability,The product shall be internet browser independent.
Security,"The software used to install and update the system, independent of the mode or method of conveyance, shall be certified free of malevolent software (malware)."
Usability,The system shall maintain consistent navigation patterns across all 5000 modules.
Security,"Database or file encryption for protection of sensitive data fields while the data is at rest (i.e., stored data) is provided."
Performance,Data storage and processing infrastructure is capable of reliably processing large data quantities.
Performance,The system shall be able to add product to shopping cart in less than 2ms.
Performance,Having a high -performance infrastructure in order to present the AR content in a fluent and real -time way.
Performance,The system will employ on demand asynchronous loading for faster execution of pages.
Security,"Consider adding a specific sqlconfDOTphp override settings when using the patient portal (especially the onsite portal), which can be used to use a separate mysql user (and possibly database)."
Performance,The product shall be capable of handling up to 1 000 concurrent requests.
Operability,The system shall support 100 different browser versions.
Security,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level. The report will be reviewed for auditing purposes.
Usability,The system has the capability to use rules associated with required prompts that can either be used as warning to the usre or prevent moving to a next step until a specific action has been taken.
Maintainability,"This includes browser-based, server-side architectures, configurable, and a range of industry-standard database, operating system, and programming platforms"
Maintainability,A health care provider electing to use direct data entry offered by a health plan to conduct a transaction for which a standard has been adopted under this part must use the applicable data content and data condition requirements of the standard when conducting the transaction.
Operability,The system shall provide data import functionality to receive standard format data from external parties.
